record_id,total_inflow_btc,total_outflow_btc,avg_tx_value,tx_count_in,tx_count_out,active_duration_days,in_out_ratio,temporal_entropy,address_count,entity_label
1,1872.7068,4470.4726,44.548705,11311,18682,1113,7.3181,0.3134,13545,9
2,4753.572,4732.2831,28.474906,10165,3167,2778,2.5939,0.9025,10085,2
3,3659.9724,4462.7922,41.619569,18178,9512,1834,4.0134,0.2289,2816,5
4,2993.2964,2097.2458,49.581218,5704,184,1315,9.8333,0.191,4675,2
5,780.1016,3901.8297,8.180894,10650,9476,3494,2.5236,0.519,5197,8
6,779.981,2381.6839,34.588913,12673,19231,3139,3.8261,0.6725,4585,2
7,290.4275,2487.7043,33.714711,4156,11333,3113,3.0808,0.0443,5022,1
8,4330.8821,1023.4085,48.997774,2612,15174,99,1.1853,0.2211,6231,8
9,3005.579,2955.6556,49.280038,18978,9989,3926,4.95,0.4557,9980,7
10,3540.3658,930.6876,34.333962,16480,4723,1480,3.849,0.331,10183,7
11,102.9323,1657.8302,12.180815,9181,15195,4397,6.9794,0.7126,12510,1
12,4849.5496,4275.1525,39.927812,9305,17167,1223,8.1942,0.5112,10653,5
13,4162.2149,1035.387,5.351546,14611,17892,4584,5.4881,0.1604,2632,4
14,1061.7034,355.8007,39.034987,8438,14073,1005,0.4187,0.8945,6346,1
15,909.133,345.0473,45.509815,10351,15977,477,6.2273,0.2929,8097,4
16,917.0307,4703.9232,19.141731,12522,5856,1136,0.6484,0.7311,14907,3
17,1521.2182,2534.6071,31.531802,19734,13295,2857,6.2019,0.7799,10461,8
18,2623.7869,2047.0663,21.507194,6561,12047,1706,6.8818,0.9632,6301,0
19,2159.7308,4054.3948,21.888309,5248,677,518,2.0579,0.4985,7349,5
20,1456.1528,4179.1313,15.518613,4078,4091,1221,8.2115,0.6158,5845,6
21,3059.2684,1660.9618,38.106505,10859,12499,2507,9.1197,0.3349,2177,5
22,697.4779,3468.0934,46.808835,11392,12778,4326,8.1496,0.6782,5363,4
23,1460.7303,3855.6164,47.037549,10947,19071,1192,3.1206,0.4634,8098,3
24,1831.8156,3273.2569,8.739147,15187,8383,3881,5.9078,0.4377,13484,4
25,2280.3554,757.9839,43.737195,1418,15007,3244,9.1567,0.8555,13815,8
26,3925.882,4379.4167,36.871598,16495,9035,1978,3.2746,0.0502,5600,4
27,998.3769,2695.4774,12.641945,8955,8527,2243,8.2183,0.882,9069,9
